OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
1,53033001701,11040,Tract 001701,4657,2,4,2,8,2.66666667,4004,207,5.16983017,69190,1210,30.21978022,17164.4546404211,9609050.92990572
2,53033001702,11108,Tract 001702,4658,2,4,2,8,2.66666667,4832,271,5.60844371,69177,1217,25.18625828,17476.4063853954,13779297.5953778
3,53033001800,11157,Tract 001800,4659,3,3,2,8,2.66666667,5380,536,9.96282528,89260,1760,32.71375465,14228.9888767384,10131535.2069485
4,53033001600,45777,Tract 001600,4656,1,2,1,4,1.33333333,4603,69,1.49902238,117250,793,17.22789485,23906.3088116313,21045602.524889
5,53033001500,45707,Tract 001500,4655,1,3,1,5,1.66666667,2548,35,1.37362637,96019,279,10.94976452,14232.9364565296,12428020.6444954
6,53033001400,45775,Tract 001400,4654,1,4,2,7,2.33333333,5550,233,4.1981982,71144,1460,26.30630631,31791.8149433521,23168932.044722
7,53033001300,10810,Tract 001300,4653,3,4,3,10,3.33333333,4468,584,13.07072516,70764,1981,44.33751119,15158.9053182016,12758866.6853537
8,53033001200,10749,Tract 001200,4652,4,5,3,12,4,7024,1201,17.09851936,46358,2857,40.67482916,20850.9670045026,19739929.153537
9,53033001900,11222,Tract 001900,4660,2,4,2,8,2.66666667,4777,395,8.26878794,75652,1333,27.9045426,21128.6194335469,17904663.9747457
10,53033002600,44122,Tract 002600,4666,1,3,1,5,1.66666667,5061,86,1.69926892,106193,968,19.12665481,15936.1370582708,13398377.354172
11,53033002000,44184,Tract 002000,4661,1,3,1,5,1.66666667,3814,58,1.52071316,95469,654,17.14735186,15511.743696632,12183652.4422286
12,53033002100,11332,Tract 002100,4662,2,3,1,6,2,4210,372,8.83610451,95515,966,22.94536817,16139.9210115851,14696753.7449655
13,53033002200,45770,Tract 002200,4663,1,1,1,3,1,5764,179,3.1054823,144318,1299,22.53643303,32855.3342037262,29722830.1055591
14,53033002400,11471,Tract 002400,4664,1,2,1,4,1.33333333,3180,88,2.7672956,109402,595,18.71069182,14063.4138776628,10538770.8640533
15,53033002500,11521,Tract 002500,4665,1,2,1,4,1.33333333,3316,41,1.23642943,107401,596,17.973462,16442.9684016844,10594623.2440513
16,53033002700,11710,Tract 002700,4667,2,2,2,6,2,6155,294,4.77660439,121807,1589,25.81640942,24129.0791720174,17154146.1780026
