OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
140,53033020100,45273,Tract 020100,4772,1,3,1,5,1.66666667,3172,94,2.96343001,106708,567,17.87515763,18813.6474557483,18853037.8502334
141,53033020200,21322,Tract 020200,4773,2,4,1,7,2.33333333,5189,299,5.76218925,79882,1182,22.77895548,21955.6995270665,27888045.0912251
142,53033020300,43490,Tract 020300,4774,3,4,3,10,3.33333333,7065,909,12.86624204,64593,3063,43.35456476,21164.6802428127,28010522.9689312
143,53033020401,21453,Tract 020401,4775,3,4,2,9,3,3592,407,11.33073497,71016,922,25.66815145,25193.2188014961,24893375.0473942
144,53033020402,21509,Tract 020402,4776,1,4,2,7,2.33333333,5601,193,3.44581325,81595,1497,26.72737011,25245.2542683327,29988593.0315256
145,53033021400,45794,Tract 021400,4785,1,3,1,5,1.66666667,3956,60,1.51668352,106058,792,20.02022245,33330.3491628277,33675635.0030455
146,53033022201,45085,Tract 022201,4802,1,3,1,5,1.66666667,4431,199,4.49108553,98313,990,22.34258632,22882.6485695785,24651709.9869847
147,53033021500,45791,Tract 021500,4786,1,2,1,4,1.33333333,4365,89,2.03894616,121550,878,20.11454754,29998.3926015318,37723585.1402401
148,53033021300,21967,Tract 021300,4784,2,4,2,8,2.66666667,4114,268,6.51434127,76750,1309,31.81818182,25419.6366262086,18817841.3093768
149,53033022102,45148,Tract 022102,4801,2,3,2,7,2.33333333,6461,541,8.37331682,104053,1787,27.65825724,37513.1146329079,50146640.5568461
150,53033021600,22197,Tract 021600,4787,2,2,2,6,2,5005,398,7.95204795,108708,1321,26.39360639,29968.9551057117,31060758.01885
151,53033021700,45145,Tract 021700,4788,3,4,2,9,3,8831,899,10.18004756,78634,2903,32.87283433,42285.457796324,61011345.8610874
152,53033021802,45033,Tract 021802,4789,2,3,2,7,2.33333333,5539,508,9.17133057,89276,1735,31.32334356,32944.2082710951,52867032.6589348
153,53033022604,23923,Tract 022604,4809,2,2,2,6,2,4895,307,6.27170582,108125,1543,31.52196118,25893.2397216486,31954657.9062977
154,53033021803,45712,Tract 021803,4790,2,4,2,8,2.66666667,4904,267,5.44453507,78699,1427,29.09869494,32851.3671420538,35252088.7027019
155,53033021804,45164,Tract 021804,4791,2,4,2,8,2.66666667,5097,430,8.4363351,77188,1592,31.23405925,26625.3081253229,33144001.9074027
156,53033021906,45060,Tract 021906,4795,3,4,2,9,3,4259,476,11.17633247,78458,1325,31.11058934,34762.2189066916,41097598.8441152
157,53033022202,43199,Tract 022202,4803,2,3,2,7,2.33333333,7245,544,7.50862664,103253,2234,30.83505866,29128.1917619408,28134443.1305392
158,53033022203,43751,Tract 022203,4804,2,2,1,5,1.66666667,5038,243,4.8233426,126458,954,18.93608575,30970.9330402276,33519452.3008922
159,53033022500,45167,Tract 022500,4807,1,2,1,4,1.33333333,8438,217,2.57169945,117500,1883,22.31571462,43551.6792006673,40215658.958779
160,53033022603,43886,Tract 022603,4808,2,2,2,6,2,5691,386,6.78263925,114441,2030,35.6703567,27913.688980152,31166492.3122986
161,53033022300,44764,Tract 022300,4805,1,1,1,3,1,2647,80,3.02228938,156094,485,18.32262939,40723.8181994667,55352893.0941817
162,53033021903,44704,Tract 021903,4792,2,3,2,7,2.33333333,6153,351,5.70453437,86706,1500,24.37835202,31566.2519608578,33869775.4328419
163,53033021904,22721,Tract 021904,4793,3,3,3,9,3,4969,781,15.71744818,94167,2106,42.38277319,31358.3233767888,36931423.2527955
164,53033021905,44991,Tract 021905,4794,2,3,2,7,2.33333333,5588,477,8.53614889,89349,1808,32.35504653,32505.0006484184,28929103.7720353
165,53033022001,45711,Tract 022001,4796,2,3,2,7,2.33333333,5376,248,4.61309524,95368,1504,27.97619048,34289.2082521526,47357870.7061269
166,53033022003,43599,Tract 022003,4797,2,3,2,7,2.33333333,4831,287,5.94079901,100606,1677,34.71330987,20542.8405927537,24965529.0682437
167,53033022005,44675,Tract 022005,4798,2,4,2,8,2.66666667,5076,354,6.97399527,82582,1679,33.07722616,23561.5931861795,26025780.6563778
168,53033022006,44189,Tract 022006,4799,3,3,2,8,2.66666667,4085,546,13.36597307,88443,1193,29.20440636,25304.9899122444,15406441.6812147
169,53033022101,42894,Tract 022101,4800,2,2,1,5,1.66666667,4662,233,4.997855,112361,784,16.81681682,34732.2951890455,38230854.3167845
170,53033022400,45274,Tract 022400,4806,1,2,1,4,1.33333333,8459,196,2.31705875,117135,1530,18.08724436,35602.0122920539,49497885.8783434
171,53033022703,24219,Tract 022703,4814,2,2,2,6,2,2392,157,6.56354515,110625,697,29.13879599,27968.2693005682,45273377.7277558
172,53033022801,45059,Tract 022801,4815,4,3,5,12,4,8719,1648,18.90125014,87102,5459,62.6103911,31474.7836909995,52342054.62063
173,53033022802,44425,Tract 022802,4816,2,2,3,7,2.33333333,5030,413,8.21073559,123561,1847,36.71968191,22533.4092555736,28604228.7782253
174,53033022803,44234,Tract 022803,4817,3,2,5,10,3.33333333,5556,871,15.67674586,111337,3525,63.44492441,31451.0778490752,51369914.4404698
175,53033022605,45168,Tract 022605,4810,4,3,3,10,3.33333333,6217,1196,19.23757439,85895,2774,44.61959144,38535.3136857607,50881187.0030277
176,53033022606,45279,Tract 022606,4811,4,2,3,9,3,5653,935,16.53989032,112656,2059,36.42313816,22855.1049647916,29995889.9654325
177,53033022701,45069,Tract 022701,4812,2,2,2,6,2,2923,207,7.08176531,118476,808,27.64283271,29296.5649252495,15920767.3887852
178,53033022901,24472,Tract 022901,4818,3,2,3,8,2.66666667,2963,333,11.23860952,119375,1266,42.72696591,19263.5045018259,15975555.7459258
179,53033022702,45280,Tract 022702,4813,1,2,1,4,1.33333333,4153,106,2.55237178,132005,790,19.02239345,23204.0030033061,26422304.9997095
180,53033023500,25063,Tract 023500,4828,3,2,3,8,2.66666667,3740,428,11.44385027,132569,1618,43.26203209,24402.8453375567,24331819.17351
